title,author,source,language,date,txt_file
"Behind the Wall: A Journey Through China","Colin Thubron","Books","en","1987","Behind the Wall - Colin Thubron.txt"
"Country Driving","Peter Hessler","Books","en","2010","Country Driving_ A Journey Thro - Peter Hessler"
"Lonely Planet China (17th Edition)","Lonely Planet","Travel Guide","en","2025",China - Lonely Planet 17th edition.txt
"Lonely Planet China (16th Edition)","Lonely Planet","Travel Guide","en","2021","Lonely Planet China 16th edition.txt"
"Guide Chine 2025/2026 (Petit Futé)","Petit Futé","Travel Guide","fr","2025","Guide Chine 2025_2026 Petit Fut - Dominique Auzias.txt"
"Lonely Planet Hong Kong","Lonely Planet","Travel Guide","en","2024","Lonely Planet Hong Kong - Lonely Planet.txt"
"Lonely Planet Tibet","Lonely Planet","Travel Guide","en","2019","Lonely Planet Tibet (Travel Gui - Lonely Planet.txt"
"Lonely Planet Pocket Beijing","Lonely Planet","Travel Guide","en","2024","Lonely Planet Pocket Beijing - Lonely Planet.txt"
"Lonely Planet Pocket Shanghai","Lonely Planet","Travel Guide","en","2024","Lonely Planet Pocket Shanghai - Lonely Planet.txt"
"Marco Polo","Laurence Bergreen","Books","en","2007","Marco Polo - Laurence Bergreen.txt"
"Other Rivers: A Chinese Education","Peter Hessler","Books","en","2024","Other Rivers_ A Chinese Educati - Peter Hessler.txt"
"Shark’s Fin and Sichuan Pepper","Fuchsia Dunlop","Books","en","2008","Shark's Fin and Sichuan Pepper - Fuchsia Dunlop.txt"
"The Shortest History of China","Linda Jaivin","Books","en","2021","The Shortest History of China - Linda Jaivin.txt"
