Date,Non indexées,Dans l'index,Impressions
2026-01-24,306,38,9
2026-01-25,316,41,19
2026-01-26,316,41,35
2026-01-27,316,41,67
2026-01-28,339,44,88
2026-01-29,339,44,64
2026-01-30,339,44,88
2026-01-31,339,44,96
2026-02-01,354,48,75
2026-02-02,354,48,78
2026-02-03,354,48,74
2026-02-04,368,53,104
2026-02-05,368,53,132
2026-02-06,368,53,130
2026-02-07,368,53,157
2026-02-08,381,56,193
2026-02-09,381,56,182
2026-02-10,381,56,356
2026-02-11,402,59,538
2026-02-12,402,59,518
2026-02-13,402,59,191
2026-02-14,402,59,197
2026-02-15,417,60,227
2026-02-16,417,60,208
2026-02-17,417,60,191
2026-02-18,437,54,262
2026-02-19,437,54,319
2026-02-20,437,54,290
2026-02-21,437,54,268
2026-02-22,456,62,222
2026-02-23,456,62,191
2026-02-24,456,62,157
2026-02-25,483,76,135
2026-02-26,483,76,116
2026-02-27,483,76,284
2026-02-28,483,76,519
2026-03-01,483,76,479
2026-03-02,483,76,535
2026-03-03,483,76,477
2026-03-04,486,92,364
2026-03-05,486,92,313
2026-03-06,486,92,376
2026-03-07,486,92,335
2026-03-08,501,97,365
2026-03-09,501,97,318
2026-03-10,501,97,304
2026-03-11,518,106,314
2026-03-12,518,106,313
2026-03-13,518,106,268
2026-03-14,518,106,376
2026-03-15,518,106,391
2026-03-16,525,108,370
2026-03-17,525,108,437
2026-03-18,545,113,484
2026-03-19,545,113,440
2026-03-20,545,113,409
2026-03-21,545,113,536
2026-03-22,554,118,538
2026-03-23,554,118,673
2026-03-24,554,118,573
2026-03-25,559,129,508
2026-03-26,559,129,531
2026-03-27,559,129,810
2026-03-28,559,129,1087
2026-03-29,572,136,964
2026-03-30,572,136,951
2026-03-31,572,136,922
2026-04-01,576,161,960
2026-04-02,576,161,925
2026-04-03,576,161,1094
2026-04-04,576,161,1001
2026-04-05,571,179,959
2026-04-06,571,179,970
2026-04-07,524,248,873
2026-04-08,524,248,849
2026-04-09,524,248,778
2026-04-10,524,248,662
2026-04-11,378,426,815
2026-04-12,378,426,759
2026-04-13,378,426,668
2026-04-14,387,434,606
2026-04-15,387,434,921
2026-04-16,387,434,773
2026-04-17,387,434,748
2026-04-18,390,440,807
2026-04-19,390,440,843
2026-04-20,390,440,934
