Pays,Clics,Impressions,CTR,Position
Chine,40,2938,1.36%,7.2
Singapour,23,1941,1.18%,10.3
États-Unis,11,14654,0.08%,8.3
Australie,9,669,1.35%,9.55
Royaume-Uni,7,1185,0.59%,11.93
Malaisie,7,581,1.2%,10.53
France,6,653,0.92%,6.66
Hong-Kong,6,577,1.04%,9.11
Japon,5,855,0.58%,6.84
Italie,5,508,0.98%,10.83
Canada,4,1128,0.35%,10.86
Philippines,4,542,0.74%,12.92
Thaïlande,4,540,0.74%,9.41
Espagne,3,928,0.32%,8.3
Indonésie,3,777,0.39%,8.96
Suisse,3,267,1.12%,8.42
Allemagne,2,855,0.23%,7.9
Pays-Bas,2,658,0.3%,8.58
Russie,2,216,0.93%,6.56
Norvège,2,113,1.77%,10.42
Brésil,1,1163,0.09%,7.71
Vietnam,1,686,0.15%,9.23
Taïwan,1,346,0.29%,7.14
Argentine,1,295,0.34%,7.12
Belgique,1,178,0.56%,7.58
Suède,1,164,0.61%,10.49
Danemark,1,108,0.93%,11.67
Irlande,1,78,1.28%,8.72
Grèce,1,66,1.52%,8.65
Corée du Sud,0,834,0%,6.84
Inde,0,734,0%,11.7
Mexique,0,373,0%,6.85
Colombie,0,225,0%,7.87
Pologne,0,211,0%,7.56
Turquie,0,207,0%,6.97
Portugal,0,179,0%,7.36
Arabie Saoudite,0,156,0%,14.5
Autriche,0,154,0%,7.35
Équateur,0,153,0%,10.61
Ukraine,0,128,0%,7.52
Émirats Arabes Unis,0,126,0%,7.71
Bangladesh,0,126,0%,7.87
Kazakhstan,0,121,0%,7.5
Chili,0,109,0%,7.37
Pérou,0,106,0%,6.89
Iran,0,101,0%,6.79
Pakistan,0,100,0%,14.5
Israël,0,99,0%,11.66
Hongrie,0,88,0%,6.18
Finlande,0,85,0%,6.66
République tchèque,0,85,0%,7.46
Maroc,0,84,0%,14.71
Roumanie,0,82,0%,8.7
Égypte,0,76,0%,16.14
Nouvelle-Zélande,0,74,0%,9.28
Algérie,0,74,0%,14.49
Nigéria,0,74,0%,15.66
Serbie,0,66,0%,6.97
Afrique du Sud,0,55,0%,10.07
République Dominicaine,0,52,0%,8
Bulgarie,0,51,0%,8.29
Lituanie,0,50,0%,7.06
Slovaquie,0,47,0%,6.55
Venezuela,0,46,0%,6.2
Slovénie,0,44,0%,6.95
Lettonie,0,42,0%,5.98
Cambodge,0,41,0%,7.02
Croatie,0,40,0%,8
Estonie,0,34,0%,8.32
Tunisie,0,33,0%,7.12
Irak,0,33,0%,12.67
Guatemala,0,32,0%,8.53
Géorgie,0,31,0%,7.94
Porto Rico,0,30,0%,7.63
Paraguay,0,29,0%,7.38
Uruguay,0,29,0%,8.1
Malte,0,28,0%,7.46
Azerbaïdjan,0,28,0%,8.93
Jamaïque,0,26,0%,6.54
Ouzbékistan,0,26,0%,6.96
Costa Rica,0,26,0%,8.12
Népal,0,26,0%,8.62
Biélorussie,0,25,0%,6.44
Mongolie,0,24,0%,5.58
Albanie,0,24,0%,6.62
Trinité-et-Tobago,0,24,0%,6.96
Qatar,0,23,0%,10.7
Kenya,0,23,0%,13.87
Macao,0,22,0%,9.82
Arménie,0,21,0%,6.76
Sri Lanka,0,20,0%,6.8
Panama,0,19,0%,6.42
Bolivie,0,19,0%,10.05
Jordanie,0,18,0%,5.28
Moldavie,0,17,0%,6.35
Honduras,0,17,0%,6.76
Bosnie-Herzégovine,0,17,0%,6.94
Éthiopie,0,17,0%,13.94
Palestine,0,16,0%,5.12
Myanmar (Birmanie),0,16,0%,8.81
Région inconnue,0,14,0%,6.71
Nicaragua,0,14,0%,6.86
Laos,0,14,0%,8.86
Cuba,0,13,0%,8
Liban,0,13,0%,8.62
Bahreïn,0,13,0%,9.54
Luxembourg,0,13,0%,10.23
Chypre,0,12,0%,6.17
Ghana,0,12,0%,7.08
Macédoine,0,11,0%,5.18
Bahamas,0,11,0%,5.55
El Salvador,0,11,0%,7.18
Koweït,0,11,0%,8.64
Oman,0,11,0%,16.73
Monténégro,0,10,0%,7.8
Maurice (Île),0,9,0%,9.56
Sénégal,0,8,0%,6.75
Belize,0,8,0%,7.38
Kosovo,0,7,0%,6.71
Barbade (La),0,7,0%,7
Islande,0,7,0%,8.14
Côte d'Ivoire,0,6,0%,5.67
Libye,0,6,0%,7
Caïmans (Îles),0,6,0%,8.67
