"date","browser","browser_version","visitors","visits","visit_duration","bounces","pageviews"
"2025-12-10","Chrome","143.0",1,1,0,1,1
"2025-12-21","Chrome","143.0",1,1,517,0,6
"2025-12-21","Chrome","119.0",1,1,1,0,2
"2025-12-22","Chrome","142.0",1,2,678,0,9
"2025-12-23","Chrome","129.0",1,1,0,1,1
"2025-12-24","Chrome","143.0",1,1,45,0,2
"2025-12-24","Chrome","142.0",1,1,169,0,28
"2025-12-25","Chrome","119.0",1,1,0,1,1
"2025-12-25","Chrome","143.0",1,1,148,0,3
"2025-12-25","Chrome","142.0",1,1,0,1,1
"2025-12-26","Safari","18.5",1,2,4090,1,31
"2025-12-26","Chrome","143.0",3,5,2529,0,30
"2025-12-27","Safari","18.5",1,2,168,0,8
"2025-12-27","Safari","",1,1,1,0,2
"2025-12-27","Chrome","142.0",1,1,0,1,1
"2025-12-27","Chrome","117.0",1,1,0,0,2
"2025-12-27","Chrome","143.0",2,4,6178,0,47
"2025-12-27","Chrome","141.0",1,1,0,1,1
"2025-12-27","Chrome","125.0",1,1,0,0,2
"2025-12-28","Chrome","143.0",1,2,205,0,13
"2025-12-29","Chrome","143.0",1,1,78,0,4
"2025-12-29","Chrome","117.0",1,1,0,1,1
"2025-12-29","Chrome","125.0",2,2,0,0,4
"2025-12-30","Mobile App","",1,1,0,0,2
"2025-12-30","Mobile App","57.0",1,1,0,1,1
"2025-12-30","Chrome","91.0",1,1,0,1,1
"2025-12-30","Chrome","143.0",5,7,424,0,44
"2025-12-31","Chrome","143.0",1,1,0,1,1
"2026-01-02","Chrome","125.0",2,2,0,0,4
"2026-01-02","Chrome","143.0",1,1,0,0,2
"2026-01-02","Chrome","117.0",1,1,0,1,1
"2026-01-06","Chrome","142.0",1,1,34,0,4
"2026-01-07","Chrome","138.0",2,2,0,0,4
"2026-01-07","Chrome","125.0",1,1,0,1,1
"2026-01-07","Chrome","117.0",1,1,0,1,1
"2026-01-07","Chrome","143.0",1,1,0,1,1
"2026-01-08","Chrome","143.0",2,2,0,1,3
"2026-01-10","Safari","26.1",1,1,128,0,7
"2026-01-10","Chrome","143.0",3,3,0,1,5
"2026-01-12","Chrome","142.0",1,1,0,1,1
"2026-01-12","Chrome","125.0",1,1,0,0,2
"2026-01-12","Chrome","117.0",1,1,0,0,2
"2026-01-13","Chrome","125.0",1,1,0,0,2
"2026-01-13","Chrome","117.0",1,1,0,1,1
"2026-01-17","Chrome","143.0",1,1,0,0,2
"2026-01-21","Chrome","141.0",1,1,0,1,1
"2026-01-21","Chrome","143.0",2,2,0,1,3
"2026-01-22","Chrome","142.0",1,1,7,0,4
"2026-01-22","Chrome","139.0",1,1,0,0,2
"2026-01-22","Safari","16.6",1,1,0,1,1
"2026-01-24","Chrome","139.0",1,1,0,1,1
"2026-01-25","Chrome","139.0",1,1,2,0,2
"2026-01-25","Chrome","117.0",1,1,0,0,2
"2026-01-25","Chrome","125.0",1,1,0,0,2
"2026-01-27","Chrome","139.0",1,1,0,0,2
"2026-01-27","Chrome","143.0",1,1,5,0,4
"2026-01-27","Chrome","117.0",1,1,0,1,1
"2026-01-27","Chrome","125.0",1,1,0,0,2
"2026-01-27","Chrome","130.0",1,1,1,0,2
"2026-01-28","Chrome","117.0",1,1,0,1,1
"2026-01-29","Chrome","144.0",1,1,0,0,2
