"date","property","value","visitors","events"
"2025-12-27","search_query","leshan",1,1
"2025-12-27","result_count","1",1,2
"2025-12-27","search_source","https://sinotales.com/",1,2
"2025-12-27","path","/",1,3
"2025-12-27","search_query","chengdu",1,1
"2026-02-12","url","https://trip.com/",1,1
"2026-02-13","url","https://trip.com/",1,1
"2026-02-18","url","https://trip.com/",1,1
"2026-02-25","search_source","https://sinotales.com/destinations/",1,1
"2026-02-25","path","/destinations/",1,2
"2026-02-25","search_query","fuzhou",1,1
"2026-02-25","result_count","0",1,1
"2026-03-31","result_count","0",1,1
"2026-03-31","search_query","o2o",1,1
"2026-03-31","path","/ressources/apps-tech/china-travel-tips-hema-freshippo-guide-2026/",1,2
"2026-03-31","search_source","https://sinotales.com/ressources/apps-tech/china-travel-tips-hema-freshippo-guide-2026/",1,1
"2026-04-01","result_count","4",1,1
"2026-04-01","path","/destinations/chengdu/",1,2
"2026-04-01","search_query","guizhou",1,1
"2026-04-01","search_source","https://sinotales.com/destinations/chengdu/?category=nature-hiking",1,1
"2026-04-09","url","https://www.getnomad.app/",1,1
"2026-04-11","path","/ressources/transport/beijing-shanghai-train-vs-flight",1,1
"2026-04-13","url","https://claude.ai/new?q=Please%20summarize%20the%20following%20article%20in%203%20bullet%20points%3A%20https%3A%2F%2Fsinotales.com%2Fdestinations%2Fxinjiang%2Fxinjiang-public-transport-route%2F",1,1
"2026-04-13","url","https://www.getnomad.app/",1,1
"2026-04-15","url","https://www.12306.cn/en/index.html",1,1
"2026-04-15","path","/destinations/beijing/beijing-subway-guide-tips/",1,1
"2026-04-15","url","https://www.getnomad.app/",1,1
"2026-04-16","url","https://www.getnomad.app/",1,1
"2026-04-18","url","https://www.nomadesim.com/china-eSIM",1,1
