"date","entry_page","visitors","entrances","visit_duration","bounces","pageviews"
"2025-12-10","/blog/",1,1,0,1,1
"2025-12-21","/",2,2,518,0,8
"2025-12-22","/",1,2,678,0,9
"2025-12-23","/",1,1,0,1,1
"2025-12-24","/",2,2,214,0,30
"2025-12-25","/",3,3,148,2,5
"2025-12-26","/contact/",2,2,0,1,3
"2025-12-26","/",4,5,6619,0,58
"2025-12-27","/",7,7,3475,2,28
"2025-12-27","/destinations/sichuan/chengdu-day-trips-leshan-emei/",2,4,2872,0,35
"2025-12-28","/",1,2,205,0,13
"2025-12-29","/",4,4,78,1,9
"2025-12-30","/ressources/transport/china-high-speed-train-guide-booking-tips/",1,1,4,0,3
"2025-12-30","/",8,9,420,2,45
"2025-12-31","/ressources/transport/china-high-speed-train-guide-booking-tips/",1,1,0,1,1
"2026-01-02","/",4,4,0,1,7
"2026-01-06","/",1,1,34,0,4
"2026-01-07","/",5,5,0,3,7
"2026-01-08","/",2,2,0,1,3
"2026-01-10","/ressources/transport/china-high-speed-train-guide-booking-tips/",1,1,128,0,7
"2026-01-10","/",3,3,0,1,5
"2026-01-12","/",3,3,0,1,5
"2026-01-13","/",2,2,0,1,3
"2026-01-17","/",1,1,0,0,2
"2026-01-21","/",2,2,0,1,3
"2026-01-21","/ressources/",1,1,0,1,1
"2026-01-22","/destinations/xian/xian-3-day-itinerary-travel-tips/",1,1,0,0,2
"2026-01-22","/ressources/transport/china-high-speed-train-guide-booking-tips/",1,1,0,1,1
"2026-01-22","/",1,1,7,0,4
"2026-01-24","/",1,1,0,1,1
"2026-01-25","/",3,3,2,0,6
"2026-01-27","/destinations/sichuan/chengdu-day-trips-leshan-emei/",1,1,0,0,2
"2026-01-27","/",4,4,6,1,9
"2026-01-28","/",1,1,0,1,1
"2026-01-29","/",1,1,0,0,2
"2026-01-29","/ressources/transport/china-high-speed-train-guide-booking-tips/",1,1,0,0,2
"2026-01-30","/ressources/budget-logistics/china-travel-tips-family-budget-cost/",1,1,0,1,1
"2026-02-01","/ressources/budget-logistics/china-travel-tips-family-budget-cost/",1,1,0,1,1
"2026-02-01","/destinations/gansu/china-travel-tips-qinghai-gansu-loop/",1,1,0,1,1
"2026-02-02","/",1,1,1,0,2
"2026-02-03","/",1,1,0,1,1
"2026-02-03","/destinations/hangzhou/hangzhou-west-lake-china-travel-guide/",1,1,0,0,2
"2026-02-03","/ressources/transport/china-high-speed-train-guide-booking-tips/",1,1,0,1,1
"2026-02-04","/destinations/harbin/harbin-ice-festival-2025-travel-guide/",1,1,0,1,1
"2026-02-05","/destinations/shanghai/shanghai-metro-guide-travel-tips/",1,1,0,0,2
"2026-02-05","/ressources/budget-logistics/china-travel-tips-family-budget-cost/",3,3,0,2,4
"2026-02-05","/destinations/yunnan/yunnan-travel-guide-kunming-dali-lijiang/",1,1,0,1,1
"2026-02-05","/",2,2,0,0,4
"2026-02-05","/ressources/money-costs/china-travel-cost-guide-2026/",1,1,0,0,2
"2026-02-06","/destinations/gansu/china-travel-tips-qinghai-gansu-loop/",2,2,0,2,2
"2026-02-06","/destinations/guangxi/4-day-guilin-yangshuo-itinerary/",1,1,0,0,2
"2026-02-06","/destinations/shanghai/shanghai-metro-guide-travel-tips/",2,2,0,2,2
"2026-02-06","/",1,1,0,0,2
"2026-02-06","/ressources/money-costs/china-travel-cost-guide-2026/",3,3,0,3,3
"2026-02-07","/ressources/money-costs/china-travel-cost-guide-2026/",3,3,0,3,3
"2026-02-07","/interests/water-towns/wuzhen-vs-tongli-suzhou-water-towns-guide/",2,2,0,2,2
"2026-02-08","/ressources/transport/china-high-speed-train-guide-booking-tips/",1,1,4,0,2
"2026-02-08","/destinations/chengdu/chengdu-panda-base-guide-china-travel-tips/",1,1,0,1,1
