"date","visitors","pageviews","bounces","visits","visit_duration"
"2025-12-10",1,1,1,1,0
"2025-12-21",2,8,0,2,518
"2025-12-22",1,9,0,2,678
"2025-12-23",1,1,1,1,0
"2025-12-24",2,30,0,2,214
"2025-12-25",3,5,2,3,148
"2025-12-26",4,61,1,7,6619
"2025-12-27",8,63,2,11,6347
"2025-12-28",1,13,0,2,205
"2025-12-29",4,9,1,4,78
"2025-12-30",8,48,2,10,424
"2025-12-31",1,1,1,1,0
"2026-01-02",4,7,1,4,0
"2026-01-06",1,4,0,1,34
"2026-01-07",5,7,3,5,0
"2026-01-08",2,3,1,2,0
"2026-01-10",4,12,1,4,128
"2026-01-12",3,5,1,3,0
"2026-01-13",2,3,1,2,0
"2026-01-17",1,2,0,1,0
"2026-01-21",3,4,2,3,0
"2026-01-22",3,7,1,3,7
"2026-01-24",1,1,1,1,0
"2026-01-25",3,6,0,3,2
"2026-01-27",5,11,1,5,6
"2026-01-28",1,1,1,1,0
"2026-01-29",2,4,0,2,0
"2026-01-30",1,1,1,1,0
"2026-02-01",2,2,2,2,0
"2026-02-02",1,2,0,1,1
"2026-02-03",3,4,2,3,0
"2026-02-04",1,1,1,1,0
"2026-02-05",8,13,3,8,0
"2026-02-06",9,11,7,9,0
"2026-02-07",5,5,5,5,0
"2026-02-08",2,3,1,2,4
"2026-02-09",2,2,2,2,0
"2026-02-10",5,5,5,5,0
"2026-02-11",2,2,2,2,0
"2026-02-12",6,6,5,6,12
"2026-02-13",6,6,5,6,105
"2026-02-14",2,2,2,2,0
"2026-02-15",3,3,3,3,0
"2026-02-16",2,2,2,2,0
"2026-02-17",2,2,2,2,0
"2026-02-18",7,8,5,7,61
"2026-02-19",9,10,8,9,0
"2026-02-20",28,29,27,28,6
"2026-02-21",5,7,3,5,1201
"2026-02-22",3,3,3,3,0
"2026-02-23",4,7,3,4,44
"2026-02-24",3,6,1,3,14
"2026-02-25",4,10,1,4,2872
"2026-02-26",7,12,5,7,210
"2026-02-27",5,6,4,5,12
"2026-02-28",8,12,6,8,1433
"2026-03-01",8,8,8,8,0
"2026-03-02",7,7,7,7,0
"2026-03-03",2,5,1,2,12
"2026-03-04",8,8,8,8,0
"2026-03-05",10,11,9,10,789
"2026-03-06",7,7,7,7,0
"2026-03-07",5,5,5,5,0
"2026-03-08",7,9,7,8,204
"2026-03-09",10,22,7,11,1007
"2026-03-10",23,26,21,23,691
"2026-03-11",5,5,5,5,0
"2026-03-12",5,5,5,5,0
"2026-03-13",9,10,8,9,54
"2026-03-14",13,13,13,13,0
"2026-03-15",9,10,8,9,3
"2026-03-16",9,9,9,9,0
"2026-03-17",9,9,9,9,0
"2026-03-18",11,12,10,11,42
"2026-03-19",11,11,11,11,0
"2026-03-20",11,11,11,11,0
"2026-03-21",14,30,12,15,1310
"2026-03-22",24,25,25,25,0
"2026-03-23",22,24,21,22,185
"2026-03-24",30,31,31,31,0
"2026-03-25",36,39,35,37,385
"2026-03-26",43,45,45,45,0
"2026-03-27",28,30,28,29,47
"2026-03-28",23,26,22,24,330
"2026-03-29",20,27,17,20,939
"2026-03-30",42,45,40,42,75
"2026-03-31",22,29,19,22,1001
"2026-04-01",25,43,26,28,2125
"2026-04-02",20,22,20,21,355
"2026-04-03",32,37,31,33,31
"2026-04-04",21,21,21,21,0
"2026-04-05",25,27,24,25,3524
"2026-04-06",23,25,23,24,294
"2026-04-07",27,34,25,28,2577
"2026-04-08",32,36,31,33,759
"2026-04-09",28,45,24,29,4735
"2026-04-10",35,50,29,36,4442
"2026-04-11",31,32,29,31,1900
"2026-04-12",35,39,34,36,224
"2026-04-13",43,55,39,44,1427
"2026-04-14",29,29,29,29,0
"2026-04-15",39,42,36,39,1115
"2026-04-16",32,35,30,32,28
"2026-04-17",29,32,29,30,2623
"2026-04-18",30,36,28,30,2675
"2026-04-19",31,40,27,32,46
"2026-04-20",28,31,29,30,465
"2026-04-21",32,35,33,34,17
"2026-04-22",28,30,28,29,842
"2026-04-23",31,39,27,32,1848
"2026-04-24",32,43,31,34,378
